,predictions,file_names
66,happy,03-01-02-01-02-02-01.wav
67,disgust,03-01-07-02-01-02-11.wav
68,disgust,03-01-07-01-01-02-13.wav
69,happy,03-01-03-01-01-01-14.wav
70,fearful,03-01-06-01-02-02-23.wav
71,fearful,03-01-06-02-02-01-02.wav
72,fearful,03-01-06-02-02-02-03.wav
73,fearful,03-01-06-02-01-01-04.wav
74,fearful,03-01-06-02-02-01-24.wav
75,disgust,03-01-07-02-01-01-02.wav
76,fearful,03-01-06-02-01-02-07.wav
77,happy,03-01-03-01-01-02-22.wav
78,calm,03-01-02-01-02-02-09.wav
79,fearful,03-01-06-02-02-01-21.wav
80,disgust,03-01-07-01-01-01-09.wav
81,calm,03-01-02-01-01-01-09.wav
82,fearful,03-01-03-01-01-02-16.wav
83,calm,03-01-02-01-01-01-18.wav
84,disgust,03-01-07-01-02-02-24.wav
85,calm,03-01-06-01-01-01-03.wav
86,disgust,03-01-02-02-02-01-14.wav
87,fearful,03-01-03-01-02-02-23.wav
88,disgust,03-01-07-02-01-02-19.wav
89,fearful,03-01-06-01-02-01-18.wav
90,disgust,03-01-07-02-02-01-02.wav
91,fearful,03-01-07-01-01-01-12.wav
92,happy,03-01-02-01-01-01-07.wav
93,happy,03-01-06-02-01-01-10.wav
94,disgust,03-01-07-01-01-02-03.wav
95,disgust,03-01-06-02-01-02-06.wav
96,calm,03-01-02-01-02-01-07.wav
97,calm,03-01-02-01-01-01-24.wav
98,calm,03-01-02-02-01-01-23.wav
99,disgust,03-01-07-01-01-02-09.wav
100,fearful,03-01-06-02-01-01-20.wav
101,disgust,03-01-07-01-01-02-23.wav
102,disgust,03-01-07-01-02-02-01.wav
103,fearful,03-01-06-01-02-01-16.wav
104,disgust,03-01-07-01-01-01-05.wav
105,calm,03-01-02-02-02-02-24.wav
106,disgust,03-01-07-01-02-02-03.wav
107,disgust,03-01-03-01-02-01-01.wav
108,fearful,03-01-06-01-02-01-06.wav
109,happy,03-01-03-02-01-02-02.wav
110,happy,03-01-03-01-02-01-15.wav
111,calm,03-01-02-01-02-02-23.wav
112,fearful,03-01-02-01-01-02-10.wav
113,fearful,03-01-06-01-01-01-06.wav
114,fearful,03-01-06-01-02-01-24.wav
115,calm,03-01-02-01-02-01-05.wav
116,calm,03-01-02-02-01-01-05.wav
117,happy,03-01-03-02-01-01-02.wav
118,calm,03-01-02-02-02-01-03.wav
119,fearful,03-01-06-02-02-02-10.wav
120,calm,03-01-02-01-01-01-10.wav
121,calm,03-01-03-01-01-02-11.wav
122,happy,03-01-02-02-01-01-03.wav
123,happy,03-01-03-01-01-02-02.wav
124,fearful,03-01-06-02-02-02-02.wav
125,calm,03-01-02-01-02-02-04.wav
126,disgust,03-01-07-01-01-01-18.wav
127,happy,03-01-06-01-01-01-01.wav
128,calm,03-01-02-01-02-02-21.wav
129,calm,03-01-02-01-01-02-15.wav
130,fearful,03-01-06-02-02-02-17.wav
131,happy,03-01-03-01-01-02-08.wav
132,disgust,03-01-03-02-02-01-15.wav
133,disgust,03-01-07-01-01-02-21.wav
134,disgust,03-01-07-02-02-02-08.wav
135,disgust,03-01-03-02-02-01-20.wav
136,fearful,03-01-06-01-02-02-19.wav
137,happy,03-01-02-02-02-01-01.wav
138,disgust,03-01-07-02-02-02-23.wav
139,disgust,03-01-07-02-01-01-10.wav
140,calm,03-01-02-01-02-01-11.wav
141,fearful,03-01-06-01-02-02-20.wav
142,disgust,03-01-07-01-02-02-22.wav
143,disgust,03-01-07-02-01-01-04.wav
144,happy,03-01-03-02-01-02-15.wav
145,fearful,03-01-06-02-02-02-11.wav
146,disgust,03-01-06-01-01-01-18.wav
147,fearful,03-01-07-02-01-01-18.wav
148,happy,03-01-03-01-02-02-20.wav
149,calm,03-01-02-02-02-02-19.wav
150,calm,03-01-03-01-02-01-19.wav
151,disgust,03-01-07-02-02-01-15.wav
152,happy,03-01-03-02-02-02-21.wav
153,disgust,03-01-02-01-01-01-02.wav
